Name,IPEDS_UNITID,University,JoinYear,Rank,Subfield,Bachelors,Masters,Doctorate,PostDoc,Sources1,Sources2,Sources3,Sources4
Lubomir Bic,110653,University of California - Irvine,,Full,Networks & Communications,,,University of California - Irvine - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=lbic,,,
Magda El Zarki,110653,University of California - Irvine,1999,Full,Multimedia,Cairo University - Cairo - Egypt,,Columbia University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=elzarki,,,
Marco Levorato,110653,University of California - Irvine,2013,Assistant,Artificial Intelligence,University of Ferrara - Italy,University of Ferrara - Italy,University of Padua - Italy,University of Southern California - USA,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=levorato,,,
Max Welling,110653,University of California - Irvine,2003,Full,Machine Learning & Pattern Recognition,,,Utrecht University - Netherlands,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=mwelling,,,
Michael Dillencourt,110653,University of California - Irvine,,Full,Algorithms & Theory,,,University of Maryland - College Park - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=mbdillen,,,
Michael Franz,110653,University of California - Irvine,1996,Full,Networks & Communications,,,Swiss Federal Institute of Technology (ETH) - Switzerland,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=franz,,,
Michael J. Carey,110653,University of California - Irvine,2008,Full,Databases,Carnegie Mellon University - USA,Carnegie Mellon University - USA,University of California - Berkeley - USA,,http://www.ics.uci.edu/~mjcarey/index.html#index-3,,,
Michael T. Goodrich,110653,University of California - Irvine,2001,Full,Algorithms & Theory,Calvin College - USA,Purdue University - USA,Purdue University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=goodrich,,,
Nalini Venkatasubramanian,110653,University of California - Irvine,1998,Full,Multimedia,,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=nalini,,,
Nikil Dutt,110653,University of California - Irvine,,Full,Hardware & Architecture,,,University of Illinois at Urbana-Champaign - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=dutt,,,
Padhraic Smyth,110653,University of California - Irvine,1996,Full,Artificial Intelligence,National University of Ireland - Ireland,California Institute of Technology - USA,California Institute of Technology - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=pjsmyth,,,
Paul Dourish,110653,University of California - Irvine,2000,Full,Human-Computer Interaction,University of Edinburgh - United Kingdom,,University College London - United Kingdom,,http://www.ics.uci.edu/~jpd/index-old.shtml,,,
Pierre Baldi,110653,University of California - Irvine,1999,Full,Bioinformatics & Computational Biology,,Universite Paris X Nanterre - France,California Institute of Technology - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=pfbaldi,,,
Richard Lathrop,110653,University of California - Irvine,1995,Full,Artificial Intelligence,Reed College - USA,,Massachusetts Institute of Technology - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=rickl,,,
Rina Dechter,110653,University of California - Irvine,1990,Full,Artificial Intelligence,Hebrew University of Jerusalem - Israel,Weizmann Institute of Science - Israel,University of California - Los Angeles - USA,,http://www.ics.uci.edu/~dechter/biographical.html,,,
Sandy Irani,110653,University of California - Irvine,1997,Full,Algorithms & Theory,Princeton University - USA,,University of California - Berkeley - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=ssirani,,,
Scott Jordan,110653,University of California - Irvine,1999,Full,Networks & Communications,University of California - Berkeley - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=sjordan,,,
Sharad Mehrotra,110653,University of California - Irvine,,Full,Databases,Indian Institute of Technology - Kanpur - India,,University of Texas - Austin - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=smehrotr,,,
Stanislaw Jarecki,110653,University of California - Irvine,2003,Associate,Security & Privacy,Massachusetts Institute of Technology - USA,,Massachusetts Institute of Technology - USA,Stanford University - USA,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=sjarecki,,,
Tony Givargis,110653,University of California - Irvine,,Full,Hardware & Architecture,University of California - Riverside - USA,,University of California - Riverside - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=givargis,,,
Wayne Hayes,110653,University of California - Irvine,2010,Associate,Machine Learning & Pattern Recognition,University of Toronto - Canada,University of Toronto - Canada,University of Toronto - Canada,,http://webcache.googleusercontent.com/search?q=cache:G_rTdPsCOQIJ:www.ics.uci.edu/~wayne/Hayes-cv.ps+&cd=1&hl=en&ct=clnk&gl=in,,,
Wesley O. Johnson,110653,University of California - Irvine,,Full,Scientific Computing,,,University of Minnesota - Twin Cities - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=wjohnson,,,
Xiaohui Xie,110653,University of California - Irvine,,Associate,Machine Learning & Pattern Recognition,,,Massachusetts Institute of Technology - USA,,http://www.ics.uci.edu/~xhx/,,,
Yaming Yu,110653,University of California - Irvine,,Associate,Scientific Computing,,,Harvard University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=yamingy,,,
Yunan Chen,110653,University of California - Irvine,2008,Assistant,Human-Computer Interaction,China Medical University - China,,Drexel University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=yunanc,http://www.ics.uci.edu/~yunanc/Yunan_Chen/Welcome.html,,
Zhaixia Yu,110653,University of California - Irvine,2007,Associate,Scientific Computing,University of Science and Technology of China - China,University of California - Davis - USA,Rice University - USA,,https://www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=yuzhaoxia,,,
Adnan Darwiche,110662,University of California - Los Angeles,,Full,Artificial Intelligence,,Stanford University - USA,Stanford University - USA,,http://www.cs.ucla.edu/~darwiche/,,,
Alan Yuille,110662,University of California - Los Angeles,2007,Full,Artificial Intelligence,University of Cambridge - United Kingdom,,Harvard University - USA,Smith-Kettlewell Eye Research Institute - USA,http://www.stat.ucla.edu/~yuille/,,,
Alexander Sherstov,110662,University of California - Los Angeles,2011,Assistant,Algorithms & Theory,,,University of Texas - Austin - USA,Microsoft Research - USA,http://www.cs.ucla.edu/~sherstov/,,,
Alfonso F. Cardenas,110662,University of California - Los Angeles,1971,Full,Databases,San Diego State University,University of California - Los Angeles - USA,University of California - Los Angeles - USA,,http://www.cs.ucla.edu/people/faculty/alfonso-cardenas,http://www.cs.ucla.edu/~cardenas/cardenas041211.html,,
Amit Sahai,110662,University of California - Los Angeles,2004,Full,Algorithms & Theory,University of California - Berkeley - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.ucla.edu/~sahai/,,,
Ani Nahapetian,110662,University of California - Los Angeles,,Adjunct,Hardware & Architecture,University of California - Los Angeles - USA,University of California - Los Angeles - USA,University of California - Los Angeles - USA,,http://www.cs.ucla.edu/~ani/,,,
Carlo Zaniolo,110662,University of California - Los Angeles,1991,Full,Data Mining,University of Padua - Italy,University of California - Los Angeles - USA,University of California - Los Angeles - USA,,http://www.cs.ucla.edu/~zaniolo/,,,
Christopher Lee,110662,University of California - Los Angeles,1998,Full,Bioinformatics & Computational Biology,Harvard University - USA,,Stanford University - USA,,http://www.cs.ucla.edu/people/faculty,http://www.chemistry.ucla.edu/directory/lee-christopher-j,,
D. Stott Parker,110662,University of California - Los Angeles,1979,Full,Data Mining,Princeton University - USA,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,University of Grenoble - France,http://www.cs.ucla.edu/~stott/,,,
David Heckerman,110662,University of California - Los Angeles,1979,Full,Bioinformatics & Computational Biology,,,University of California - Los Angeles - USA,,http://research.microsoft.com/en-us/um/people/heckerman/,http://archive.cra.org/Activities/snowbird/2008/slides/Shortliffe_Snowbird08.pdf,,
Demetri Terzopoulos,110662,University of California - Los Angeles,2005,Full,Graphics,McGill University - Montreal - Canada,McGill University - Montreal - Canada,Massachusetts Institute of Technology - USA,,http://www.cs.ucla.edu/~dt/,http://ucla.academia.edu/DemetriTerzopoulos,,
Eleazar Eskin,110662,University of California - Los Angeles,2006,Associate,Bioinformatics & Computational Biology,University of Chicago - USA,Columbia University - USA,Columbia University - USA,,http://www.cs.ucla.edu/~eeskin/eeskin-cv.pdf,http://www.cs.ucla.edu/~eeskin/,,
Eliezer Gafni,110662,University of California - Los Angeles,1982,Full,Algorithms & Theory,Technion-Israel Institute of Technology - Israel,University of Illinois at Urbana-Champaign - USA,Massachusetts Institute of Technology - USA,,http://www.cs.ucla.edu/~eli/,,,
Glenn Reinman,110662,University of California - Los Angeles,2001,Associate,Hardware & Architecture,Massachusetts Institute of Technology - USA,University of California - San Diego - USA,University of California - San Diego - USA,,http://www.cs.ucla.edu/~reinman/,,,
Jason (Jingsheng) Cong,110662,University of California - Los Angeles,1990,Full,Hardware & Architecture,Peking University - Beijing - China,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,http://vast.cs.ucla.edu/people/faculty/jason-cong,http://www.cs.ucla.edu/people/faculty/jason-cong,,
Jason Ernst,110662,University of California - Los Angeles,2012,Assistant,Algorithms & Theory,University of Maryland - College Park - USA,,Carnegie Mellon University - USA,Massachusetts Institute of Technology - USA,http://biolchem.ucla.edu/labs/ernst/people.html,,,
Jens Palsberg,110662,University of California - Los Angeles,2004,Full,Programming Languages,,University of Aarhus - Denmark,University of Aarhus - Denmark,,http://www.cs.ucla.edu/~palsberg/,,,
Joseph Distefano III,110662,University of California - Los Angeles,1966,Full,Bioinformatics & Computational Biology,City College of New York - USA,University of California - Los Angeles - USA,University of California - Los Angeles - USA,,http://www.cs.ucla.edu/people/faculty/joseph-distefano-iii,,,
Judea Pearl,110662,University of California - Los Angeles,1970,Full,Artificial Intelligence,Technion-Israel Institute of Technology - Israel,Rutgers - State University of New Jersey - New Brunswick - USA,Polytechnic University - Brooklyn - New York - USA,,http://bayes.cs.ucla.edu/jp_home.html,http://bayes.cs.ucla.edu/stat_bio.html,,
Junghoo (John) Cho,110662,University of California - Los Angeles,,Associate,World Wide Web,Seoul National University - Seoul - Korea,,Stanford University - USA,,http://oak.cs.ucla.edu/~cho/,,,
Lixia Zhang,110662,University of California - Los Angeles,1995,Full,Networks & Communications,Massachusetts Institute of Technology - USA,,Massachusetts Institute of Technology - USA,,http://www.cs.ucla.edu/~lixia/,,,
Majid Sarrafzadeh,110662,University of California - Los Angeles,2000,Full,Real-Time & Embedded Systems,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,http://www.cs.ucla.edu/~majid/,http://www.ee.ucla.edu/people/faculty/faculty-directory/majid-sarrafzadeh/?searchterm=None,,
Mani Srivastava,110662,University of California - Los Angeles,,Full,Networks & Communications,Indian Institute of Technology - Kanpur - India,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.ee.ucla.edu/people/faculty/faculty-directory/mani-srivastava/,,,
Mario Gerla,110662,University of California - Los Angeles,1976,Full,Networks & Communications,Polytechnic University of Milan - Italy,University of California - Los Angeles - USA,University of California - Los Angeles - USA,,http://www.cs.ucla.edu/~gerla/,http://www.cs.ucla.edu/people/faculty/mario-gerla,,
Michael G. Dyer,110662,University of California - Los Angeles,1983,Full,Natural Language & Speech,,,Yale University - USA,,http://www.cs.ucla.edu/people/faculty/michael-g.-dyer,,,
Milos D. Ercegovac,110662,University of California - Los Angeles,1984,Full,Hardware & Architecture,University of Belgrade - Serbia,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,http://www.cs.ucla.edu/~milos/,,,
Miodrag Potkonjak,110662,University of California - Los Angeles,1995,Full,Algorithms & Theory,,,University of California - Berkeley - USA,,http://www.cs.ucla.edu/~miodrag/bio.htm,,,
Rafail Ostrovsky,110662,University of California - Los Angeles,2003,Full,Security & Privacy,State University of New York - Buffalo - USA,Boston University - USA,Massachusetts Institute of Technology - USA,,http://www.cs.ucla.edu/~rafail/,,,
Richard Korf,110662,University of California - Los Angeles,1985,Full,Artificial Intelligence,Massachusetts Institute of Technology - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://www.cs.ucla.edu/~korf/biography.html,,,
Richard R. Muntz,110662,University of California - Los Angeles,,Full,Databases,Pratt Institute - USA,New York University - USA,Princeton University - USA,,http://www.cs.ucla.edu/~muntz/,,,
Rupak Majumdar,110662,University of California - Los Angeles,2004,Associate,Computer Education,Indian Institute of Technology - Kanpur - India,,University of California - Berkeley - USA,,http://www.mpi-sws.org/~rupak/cv.pdf,,,
Sheila Greibach,110662,University of California - Los Angeles,1969,Full,Algorithms & Theory,Radcliffe College - USA,Radcliffe College - USA,Harvard University - USA,,http://www.cs.ucla.edu/people/faculty/sheila-greibach,,,
Song Chun Zhu,110662,University of California - Los Angeles,2002,Full,Computer Vision,University of Science and Technology of China - China,Harvard University - USA,Harvard University - USA,Brown University - USA,http://www.stat.ucla.edu/~sczhu/bio.html,http://directory.stat.ucla.edu/song-chun-zhu,,
Songwu Lu,110662,University of California - Los Angeles,2000,Full,Networks & Communications,,,University of Illinois at Urbana-Champaign - USA,,http://www.cs.ucla.edu/~slu/,,,
Stanley Osher,110662,University of California - Los Angeles,1977,Full,Scientific Computing,Brooklyn College - USA,New York University - USA,New York University - USA,,http://www.math.ucla.edu/~sjo/,,,
Stefano Soatto,110662,University of California - Los Angeles,2000,Full,Computer Vision,University of Padua - Italy,,California Institute of Technology - USA,Harvard University - USA,http://www.cs.ucla.edu/~soatto/,,,
Todd Millstein,110662,University of California - Los Angeles,2004,Associate,Programming Languages,Brown University - USA,,University of Washington - USA,,http://www.cs.ucla.edu/~todd/,,,
Tyson Condie,110662,University of California - Los Angeles,2012,Assistant,Databases,University of California - Berkeley - USA,Stanford University - USA,University of California - Berkeley - USA,,https://sites.google.com/site/tcondie/about/resume,,,
Wei Wang,110662,University of California - Los Angeles,2012,Full,Data Mining,,State University of New York - Binghamton - USA,State University of New York - Binghamton - USA,IBM Thomas J. Watson Research Center - USA,http://www.cs.ucla.edu/~weiwang/,,,
Yuval Tamir,110662,University of California - Los Angeles,1985,Associate,Distributed & Parallel Computing,,,University of California - Berkeley - USA,,http://www.cs.ucla.edu/~tamir/,http://www.linkedin.com/pub/yuval-tamir/66/5a1/b44,,
Alex C. Snoeren,110680,University of California - San Diego,2003,Full,Operating Systems,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=188,,,
Alex Orailoglu,110680,University of California - San Diego,1987,Full,Hardware & Architecture,Harvard University - USA,University of Illinois at Urbana-Champaign - USA,University of Illinois at Urbana-Champaign - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=116,,,
Alexander Vardy,110680,University of California - San Diego,1998,Full,Hardware & Architecture,,,Tel Aviv University - Israel,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=76,,,
Alin Deutsch,110680,University of California - San Diego,,Full,Databases,Polytechnic University of Bucharest - Romania,Polytechnic University of Bucharest - Romania,University of Pennsylvania - USA,,http://db.ucsd.edu/people/alin/,,,
Alon Orlitsky,110680,University of California - San Diego,1997,Full,Algorithms & Theory,Ben-Gurion University of the Negev - Israel,Stanford University - USA,Stanford University - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=54,,,
Amin Vahdat,110680,University of California - San Diego,2003,Adjunct,Hardware & Architecture,University of California - Berkeley - USA,,University of California - Berkeley - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=214,,,
Andrew Kahng,110680,University of California - San Diego,2011,Full,Hardware & Architecture,,,University of California - San Diego - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=35,,,
Bill Lin,110680,University of California - San Diego,1997,Adjunct,Hardware & Architecture,University of California - Berkeley - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=41,,,
Bradley Calder,110680,University of California - San Diego,1997,Adjunct,Hardware & Architecture,University of Washington - USA,,University of Colorado Boulder - USA,University of Colorado Boulder - USA,http://cseweb.ucsd.edu/users/calder/,,,
Charles Elkan,110680,University of California - San Diego,1990,Full,Machine Learning & Pattern Recognition,,,Cornell University - USA,,http://cseweb.ucsd.edu/users/elkan/,,,
Daniel Kane,110680,University of California - San Diego,2014,Assistant,Algorithms & Theory,Massachusetts Institute of Technology - USA,Harvard University - USA,Harvard University - USA,Stanford University - USA,http://cseweb.ucsd.edu/~dakane/,,,
Daniele Micciancio,110680,University of California - San Diego,1999,Full,Security & Privacy,,,Massachusetts Institute of Technology - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=115,,,
David Kriegman,110680,University of California - San Diego,2002,Full,Computer Vision,,,Stanford University - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=183,,,
Dean Tullsen,110680,University of California - San Diego,1996,Full,Hardware & Architecture,University of California - Los Angeles - USA,University of California - Los Angeles - USA,University of Washington - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=123,,,
Falko Kuester,110680,University of California - San Diego,2001,Affiliate,Graphics,Technical University of Berlin - Germany,University of Michigan - USA,University of California - Davis - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=253,,,
Fan Graham,110680,University of California - San Diego,1998,Full,Algorithms & Theory,,,University of Pennsylvania - USA,,http://math.ucsd.edu/~fan/,,,
Garrison Cottrell,110680,University of California - San Diego,1987,Full,Artificial Intelligence,Cornell University - USA,University of Rochester - USA,University of Rochester - USA,University of California - San Diego - USA,https://cseweb.ucsd.edu/~gary/,,,
Geoffrey Voelker,110680,University of California - San Diego,2000,Full,Operating Systems,University of California - Berkeley - USA,University of Washington - USA,University of Washington - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=125,,,
Henrik Jensen,110680,University of California - San Diego,2002,Full,Graphics,,Technical University of Denmark - Denmark,Technical University of Denmark - Denmark,Massachusetts Institute of Technology - USA,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=190,,,
Hovav Shacham,110680,University of California - San Diego,2007,Assistant,Security & Privacy,Stanford University - USA,Stanford University - USA,Stanford University - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=269,,,
Ingolf Krueger,110680,University of California - San Diego,2001,Associate,Hardware & Architecture,,University of Texas - Austin - USA,Technical University of Munich - Germany,Technical University of Munich - Germany,https://sosa.ucsd.edu/confluence/display/HOME/ikrueger,,,
Jeanne Ferrante,110680,University of California - San Diego,1994,Full,Hardware & Architecture,New College - Hofstra University - USA,,Massachusetts Institute of Technology - USA,,http://cseweb.ucsd.edu/~ferrante/,,,
Jeffrey Remmel,110680,University of California - San Diego,,Full,Algorithms & Theory,,,Cornell University - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=310,,,
Joseph Pasquale,110680,University of California - San Diego,1987,Full,Operating Systems,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of California - Berkeley - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=117,,,
Kamalika Chaudhuri,110680,University of California - San Diego,2010,Assistant,Machine Learning & Pattern Recognition,Indian Institute of Technology - Kanpur - India,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://cseweb.ucsd.edu/~kamalika/,,,
Keith Marzullo,110680,University of California - San Diego,1993,Full,Hardware & Architecture,Stanford University - USA,Stanford University - USA,Stanford University - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=114,,,
Larry Smarr,110680,University of California - San Diego,2000,Full,Hardware & Architecture,,,University of Texas - Austin - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=122,https://en.wikipedia.org/wiki/Larry_Smarr,,
Lawrence Saul,110680,University of California - San Diego,,Full,Machine Learning & Pattern Recognition,,,Massachusetts Institute of Technology - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=251,,,
Michael Taylor,110680,University of California - San Diego,2006,Associate,Hardware & Architecture,Dartmouth College - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=242,,,
Mihir Bellare,110680,University of California - San Diego,1995,Full,Security & Privacy,California Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://cseweb.ucsd.edu/users/mihir/,,,
Pavel Pevzner,110680,University of California - San Diego,2000,Full,Bioinformatics & Computational Biology,,,Moscow Institute of Physics and Technology - Russia,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=119,,,
Pradeep Khosla,110680,University of California - San Diego,,Full,Hardware & Architecture,Indian Institute of Technology - Kharagpur - India,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=346,,,
Rajesh Gupta,110680,University of California - San Diego,2002,Full,Hardware & Architecture,Indian Institute of Technology - Kanpur - India,University of California - Berkeley - USA,Stanford University - USA,,http://mesl.ucsd.edu/gupta/,,,
Ramamohan Paturi,110680,University of California - San Diego,1986,Full,Hardware & Architecture,,,Pennsylvania State University - USA,Harvard University - USA,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=118,,,
Ranjit Jhala,110680,University of California - San Diego,,Associate,Programming Languages,Indian Institute of Technology - Delhi - India,,University of California - Berkeley - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=235,,,
Ravi Ramamoorthi,110680,University of California - San Diego,2009,Associate,Graphics,California Institute of Technology - USA,California Institute of Technology - USA,Stanford University - USA,,http://www.cs.berkeley.edu/~ravir/,,,
Ronald Graham,110680,University of California - San Diego,1999,Full,Algorithms & Theory,,,University of California - Berkeley - USA,,http://www.math.ucsd.edu/~fan/ron/,,,
Russell Impagliazzo,110680,University of California - San Diego,1989,Full,Algorithms & Theory,Wesleyan University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=112,,,
Ryan Kastner,110680,University of California - San Diego,2007,Full,Hardware & Architecture,Northwestern University - USA,Northwestern University - USA,University of California - Los Angeles - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=268,,,
Sadik Esener,110680,University of California - San Diego,1987,Affiliate,Hardware & Architecture,,,University of California - San Diego - USA,,http://fleece.ucsd.edu/~sadik/,,,
Samuel Buss,110680,University of California - San Diego,,Full,Algorithms & Theory,Emory University - USA,Princeton University - USA,Princeton University - USA,,http://www.math.ucsd.edu/~sbuss/,,,
Sanjoy Dasgupta,110680,University of California - San Diego,2002,Associate,Machine Learning & Pattern Recognition,Harvard University - USA,Harvard University - USA,University of California - Berkeley - USA,,http://cseweb.ucsd.edu/users/dasgupta/,,,
Scott Baden,110680,University of California - San Diego,1990,Full,Scientific Computing,Duke University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://cseweb.ucsd.edu/~baden/,,,
Scott Klemmer,110680,University of California - San Diego,2013,Associate,Human-Computer Interaction,Brown University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=333,,,
Serge Belongie,110680,University of California - San Diego,2000,Adjunct,Computer Vision,California Institute of Technology - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://cseweb.ucsd.edu/~sjb/,,,
Shachar Lovett,110680,University of California - San Diego,2012,Assistant,Algorithms & Theory,,Hebrew University of Jerusalem - Israel,Weizmann Institute of Science - Israel,Princeton University - USA,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=350,,,
Sorin Lerner,110680,University of California - San Diego,2006,Associate,Programming Languages,,,University of Washington - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=243,,,
Stefan Savage,110680,University of California - San Diego,,Full,Security & Privacy,Carnegie Mellon University - USA,University of Washington - USA,University of Washington - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=66,,,
Steven Swanson,110680,University of California - San Diego,,Associate,Hardware & Architecture,,,University of Washington - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=259,,,
Tajana Rosing,110680,University of California - San Diego,2005,Associate,Hardware & Architecture,,Stanford University - USA,Stanford University - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=234,,,
Trey Ideker,110680,University of California - San Diego,,Full,Bioinformatics & Computational Biology,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of Washington - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=216,,,
Victor Vianu,110680,University of California - San Diego,1983,Full,Databases,,,University of Southern California - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=126,,,
Vineet Bafna,110680,University of California - San Diego,2003,Full,Bioinformatics & Computational Biology,Indian Institute of Technology - Delhi - India,Pennsylvania State University - USA,Pennsylvania State University - USA,Center for Discrete Mathematics and Theoretical Computer Science - USA,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/index.sfe?fmp_recid=208,,,
William Griswold,110680,University of California - San Diego,1991,Full,Software Engineering,,,University of Washington - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/index.sfe?fmp_recid=109,,,
Yannis Papakonstantinou,110680,University of California - San Diego,1996,Full,Databases,,,Stanford University - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=67,,,
Yoav Freund,110680,University of California - San Diego,,Full,Machine Learning & Pattern Recognition,,,University of California - Santa Cruz - USA,,http://cseweb.ucsd.edu/~yfreund/,http://development.soe.ucsc.edu/alumni-awards,,
Yuanyuan Zhou,110680,University of California - San Diego,2009,Full,Hardware & Architecture,Peking University - Beijing - China,Princeton University - USA,Princeton University - USA,,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=317,,,
Zhuowen Tu,110680,University of California - San Diego,2013,Assistant,Machine Learning & Pattern Recognition,Tsinghua University - Beijing - China,Tsinghua University - Beijing - China,Ohio State University - USA,University of California - Los Angeles - USA,http://www.jacobsschool.ucsd.edu/faculty/faculty_bios/findprofile.sfe?department=cse&fmp_recid=362,,,
