UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
104179,22, 8,1,1,"R",28401,"R",13448,"R",14953,"R",286,"R",115,"R",171,"R",1625,"R",773,"R",852,"R",907,"R",418,"R",489,"R",6805,"R",2958,"R",3847,"R",60,"R",32,"R",28,"R",15512,"R",7329,"R",8183,"R",1183,"R",543,"R",640,"R",275,"R",139,"R",136,"R",1748,"R",1141,"R",607
104179,23, 6,1,1,"R",28289,"R",13385,"R",14904,"R",286,"R",115,"R",171,"R",1623,"R",771,"R",852,"R",903,"R",417,"R",486,"R",6799,"R",2955,"R",3844,"R",60,"R",32,"R",28,"R",15491,"R",7317,"R",8174,"R",1183,"R",543,"R",640,"R",274,"R",138,"R",136,"R",1670,"R",1097,"R",573
104179,24, 1,1,1,"R",6272,"R",2913,"R",3359,"R",64,"R",25,"R",39,"R",393,"R",189,"R",204,"R",213,"R",95,"R",118,"R",1581,"R",678,"R",903,"R",10,"R",5,"R",5,"R",3350,"R",1550,"R",1800,"R",289,"R",123,"R",166,"R",50,"R",22,"R",28,"R",322,"R",226,"R",96
104179,25,99,1,1,"R",22017,"R",10472,"R",11545,"R",222,"R",90,"R",132,"R",1230,"R",582,"R",648,"R",690,"R",322,"R",368,"R",5218,"R",2277,"R",2941,"R",50,"R",27,"R",23,"R",12141,"R",5767,"R",6374,"R",894,"R",420,"R",474,"R",224,"R",116,"R",108,"R",1348,"R",871,"R",477
104179,31, 7,1,1,"R",112,"R",63,"R",49,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",4,"R",1,"R",3,"R",6,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"R",21,"R",12,"R",9,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",78,"R",44,"R",34
104179,32,11,1,3,"R",6987,"R",3499,"R",3488,"R",98,"R",42,"R",56,"R",456,"R",198,"R",258,"R",141,"R",57,"R",84,"R",698,"R",285,"R",413,"R",1,"Z",0,"R",1,"R",3390,"R",1634,"R",1756,"R",182,"R",81,"R",101,"R",602,"R",325,"R",277,"R",1419,"R",877,"R",542
104179,39, 2,1,1,"R",1549,"R",802,"R",747,"R",25,"R",14,"R",11,"R",63,"R",41,"R",22,"R",61,"R",36,"R",25,"R",419,"R",193,"R",226,"R",1,"R",1,"Z",0,"R",838,"R",442,"R",396,"R",58,"R",28,"R",30,"R",15,"R",9,"R",6,"R",69,"R",38,"R",31
104179,40, 3,1,1,"R",20468,"R",9670,"R",10798,"R",197,"R",76,"R",121,"R",1167,"R",541,"R",626,"R",629,"R",286,"R",343,"R",4799,"R",2084,"R",2715,"R",49,"R",26,"R",23,"R",11303,"R",5325,"R",5978,"R",836,"R",392,"R",444,"R",209,"R",107,"R",102,"R",1279,"R",833,"R",446
104179,41,28,2,4,"R",5233,"R",2573,"R",2660,"R",91,"R",29,"R",62,"R",233,"R",104,"R",129,"R",218,"R",122,"R",96,"R",1173,"R",528,"R",645,"R",12,"R",2,"R",10,"R",2923,"R",1474,"R",1449,"R",172,"R",83,"R",89,"R",214,"R",113,"R",101,"R",197,"R",118,"R",79
104179,42,22,2,1,"R",3269,"R",1663,"R",1606,"R",51,"R",19,"R",32,"R",145,"R",66,"R",79,"R",149,"R",86,"R",63,"R",909,"R",417,"R",492,"R",8,"R",2,"R",6,"R",1761,"R",939,"R",822,"R",132,"R",64,"R",68,"R",55,"R",32,"R",23,"R",59,"R",38,"R",21
104179,43,20,2,1,"R",3110,"R",1569,"R",1541,"R",48,"R",16,"R",32,"R",137,"R",65,"R",72,"R",144,"R",82,"R",62,"R",876,"R",402,"R",474,"R",6,"R",2,"R",4,"R",1664,"R",874,"R",790,"R",126,"R",60,"R",66,"R",51,"R",31,"R",20,"R",58,"R",37,"R",21
104179,44,15,2,1,"R",609,"R",271,"R",338,"R",15,"R",4,"R",11,"R",18,"R",6,"R",12,"R",44,"R",21,"R",23,"R",184,"R",70,"R",114,"R",2,"R",1,"R",1,"R",305,"R",147,"R",158,"R",29,"R",14,"R",15,"R",5,"R",3,"R",2,"R",7,"R",5,"R",2
104179,45,99,2,1,"R",2501,"R",1298,"R",1203,"R",33,"R",12,"R",21,"R",119,"R",59,"R",60,"R",100,"R",61,"R",39,"R",692,"R",332,"R",360,"R",4,"R",1,"R",3,"R",1359,"R",727,"R",632,"R",97,"R",46,"R",51,"R",46,"R",28,"R",18,"R",51,"R",32,"R",19
104179,51,21,2,1,"R",159,"R",94,"R",65,"R",3,"R",3,"Z",0,"R",8,"R",1,"R",7,"R",5,"R",4,"R",1,"R",33,"R",15,"R",18,"R",2,"Z",0,"R",2,"R",97,"R",65,"R",32,"R",6,"R",4,"R",2,"R",4,"R",1,"R",3,"R",1,"R",1,"Z",0
104179,52,25,2,3,"R",1964,"R",910,"R",1054,"R",40,"R",10,"R",30,"R",88,"R",38,"R",50,"R",69,"R",36,"R",33,"R",264,"R",111,"R",153,"R",4,"Z",0,"R",4,"R",1162,"R",535,"R",627,"R",40,"R",19,"R",21,"R",159,"R",81,"R",78,"R",138,"R",80,"R",58
104179,59,16,2,1,"R",435,"R",222,"R",213,"R",9,"R",3,"R",6,"R",14,"R",5,"R",9,"R",22,"R",12,"R",10,"R",134,"R",61,"R",73,"R",1,"Z",0,"R",1,"R",229,"R",124,"R",105,"R",14,"R",11,"R",3,"R",10,"R",6,"R",4,"R",2,"Z",0,"R",2
